File Name,Job Role,Education,Skills and Highlights
16223371.pdf,SALES,"Business, Freshman Truckee Meadows Community College City , State Business, Freshman","Bi-lingual, Bi-lingualÂ, Cheerful and energetic, Claims expert, Creative, Data entry, Dependable and reliable, Effective team player, Efficient under pressure, Excellent communication skills, Goal oriented, Install coordinator, Leadership- result oriented and goals achiever, Multi-line system expert, Outstanding people skills, Payroll, Proficient in ordering materials, Proficient phone skills, Self motivated, Superior communication skills, Superior organization skills, assertive, innovative, insightful"
16280971.pdf,SALES REP,"Bachelor of Arts University of Columbus City , State
Activities and Honors
Member of asi, (Advertising Specialty Institute) *Member of Atlanta Promotional Marketing Association *Member of BNI (Business Networking
Institute) *Chairmen for 1st Annual Gardens Alive Summer Soiree & Silent Auction benefitting the Justin Time Foundation for Missing Teens &
Young Adults *Elected to the Board of Directors for Pathway East Walk to Emmaus in 2009 *Elected Secretary for the Board of Directors for
Pathway East in 2010 *Elected for the Board of Directors for Trafficking in America Task Force 2011 National Winner of Senior Talent at the
COG Jubilee in Strings bowed category in 2004, 2005, 2006. Â National Runner Up of Senior Talent at COG Jubilee in Piano in 2004.","2010., Client Management, Customer Service, Management, Marketing Communications, Melinda Gibson(VP with IN Touch Ministries stated: Â  ""Karen became a trusted vendor to me. Â I could consistently trust her for quality, New Business Development, Others upon request, People Skills, Presentations, Sales, Team Player, products, while keeping to my timeline and budget.She truly went the extra mile for me each time we worked together."" April 29, Â  Â  Â  Â Customer Testimonial, Â Networking"
16511249.pdf,SALES,"1996
Culinary Certificate : Culinary Western Culinary - City , State , USA GPA: Graduated top 10 in Class of 500.

Graduated top 10 in Class of 500.

Working on Bachelors San Francisco State - City , State , USA

A ttended 9/89 to 6/91. Specialized in History and American Foreign Policy.

1989
Associate of Arts : History Skyline College - City , State , USA","AED certified, Accomplishments, CPR, CPR and Child CPR Training, Defensive driving training, Fire Response, First Aid, Interviews and interrogations, Investigative procedures, OSHA training, Report analysis, Upgraded company surveillance systemÂ from 28 to 42Â security cameras inclusive motion detector systems., leadership., report writing andÂ documentation"
17378327.pdf,SALES ADVISOR,"1974
Bachelors Degree : Biology Dillard University ï¼​ City , State Biology","01/2003 to 01/2005, 01/2008 to 01/2009, 01/2011 to Current, Analyst Company Name ï¼​ City, Cardiac Care Assistant Company Name ï¼​ City, Creative problem solver, Described product to customers and accurately explained details and care of merchandise., Did investigative work to locate publishers for delinquent shipments or missing issues., Greeted customers entering the store to ascertain what each customer wanted or needed., Handled over forty calls per day., Have also 'Sold out' of featured products on occasion., Have successfully met and exceeded sales' goals., Helped patient and/or assisting agent to relax so that test could be conducted properly., Instituted system to manage subscribers' accounts for receipt of eclectic journals., MS Windows, Patients' ages and circumstances varied., Performed pacemaker tests over the phone., Prepare, Quick learner, Researched subscribers' original orders to verify correct payment sent to and received by publisher., Responsible to give proper instructions so that resulting test was adequate for final review by a doctor., Sales Advisor Company Name ï¼​ City, State, Work Experience, and appliances-, and encourage sales of specific items: food- hot and cold, coffee makers, communication skills, detergents, etc., household items- air freshners, phone, present, publisher, sales, soda machines"
17410700.pdf,SALES ASSOCIATE,,"Ability to mediate disputes, Achievements, Bilingual in English and Spanish, Cash handling accuracy, Compelling leadership skills, Customer service oriented, Developed highly effective sales training strategies as Sales Manager., Earned an achievement in Sales for Management, Energetic, Excellent communication skills, High-end fashion knowledge, Lead management team to exceed monthly store sales goal multiple times as Sales Manager., Lead several departments as the top salesperson by surpassing periodical goals, Listening skills, Loss prevention comprehension, Reliable and punctualÂ, Retail merchandising expertise, Sold high end product & merchandise to elite celebrities and continued service beyond the store., Superb sales professional, averaging 20% of the stores sales per month."
17509935.pdf,SALES ASSOCIATE,"2000
High School Diploma : General South Summit High School ï¼​ City , State , Summit
2002
Cosmotology Heiritage College of Beauty ï¼​ City , State","Accomplishments, Active listening skills, Business management, I also took a couple of seminars on problem solving in the work place which extended from staffing, I am very good with encouraging the staff to set high expectations for themselves as well as helping them to achieve the goals. Â, I have has some extended classes in interviewing and hiring of staff as well as Goal setting and the follow through with staff as well as with the, I learned how to communicate with staff as well as customers. I have a very enthusiastic personality and can make the people around me happy, Inventory control familiarity, Outstanding customer service, Quick learner, Strong leadership skills, Strong organizational skills, Team player, and customers. Â, and excited.Â  It is my full believe that there is no ""I "" in Team. I would have never been able to achieve all of the wonderful goals by myself it, schedules, store. Â Over 15 years of experience with not only the building of a schedule but also the maintaining of one. Â, takes a wonderful group of people to achieve the highest goals."
17704246.pdf,SALES ASSOCIATE,"2000
High School Diploma : Basic Fort Dodge High School ï¼​ City , State , United States

3.0 GPA

2013
Diploma : auto body Iowa Central Community College ï¼​ City , State , United States

Completed professional development in Auto CollionÂ 

Completed continuing educationÂ 

3.2 GPA","Accurate measurements and estimates, Automated paint mixing, Basic math skills, Blueprint interpretation, Blueprint reading, Blueprint reading and interpretation, Change management, Client-focused, Collision repair, Color matching, Construction health and safety, Construction means and methods, Customer service experience, Customer service skills, Deadline driven, Demolition, Dent filling, Dependable independent worker, Detail-oriented, Direct labor crew training, English fluency, Establishing goals and setting priorities, Estimate preparation, Excel in management, Excellent communication, Excellent plan comprehension, Exceptional problem solver, Flexible work schedule, Good at following instructions, High school diploma, Hiring and staffing, Labor relations, Leadership, Lifting up to 100 lbs, Managing large crews, Manual labor skills, OSHA Certified, OSHA regulatory compliance, Operations management, Power tools, Production line/assembly lineÂ, Quality control, Quality management systems, Quick learner, Reports generation and analysis, Safety understanding, Solid communication skills, Solid independent worker, Strategic project planning, Strong communication skills, Strong interpersonal skills, Strong organizational skills, Strong work ethic, Surface preparation, Team player, Time management skillsÂ, Timely project completion, Tools maintenance, Training and development, maintenance"
17781039.pdf,SALES,"High School Diploma : General Studies Automotive Technology , 1991 Yosemite High - City , State General Studies Automotive Technology
Universal Technical Institute - City , State
Professional Affiliations
1993-2007-In past experience I have had 10 years of combined skill as a commercial truck driver, with everything from local route work as a
sanitation engineer, to construction material delivery, to long haul OTR driver.Â 
1994-2004-As well as the above listed, I have had ten years as a Paid Call Firefighter (PCF) for Madera County.Â In this function one of the
many things I learned was the duties of radio dispatch protocol.Â 
Accomplishments

Was instrumental in instituting a new scheduling practice that streamlined our booking process.Â  Results of the new scheduling procedure
increased our booking appointments from only booking 1 month out, to booking every 4 to 6 weeks for up to 1 to 2 years out. Â I developed a
new advanced payment option, where the clients can pre-pay onto a debit style card. They can choose the set amount of funds. With this option
they get a percentage discount taken off for booking the year. With these cards they can reload anytime, and with this creative plan it drastically
increased the predictability of the income variables. Â Â ","Articulate and persuasive to present my ideas to the public, Can work with short deadlines and under pressure, Computer and technical literacy, Event Management and Promotion, Expert in Creative Problem solving, Leader, Offering a fresh perspective on Customer service needs., Strong Negotiation Skills, Strong organization skills, Team Building and Team Leadership, the ability to plan ahead and always do a thorough job."
18062906.pdf,SALES,"Bachelor of Science Degree : Sport Management , 5 2010 Culver Stockton College ï¼​ City , State Sport Management
Associates degree : 5 2007 Sacramento City Community College Stockon College, Sac City College GPA: 2006 Academic Recognition of
Excellence/Deans List-Cumberland University Â·CDL Class B w Tanker Endorsement ACCOLADES Â·First Team, Second Team All-","Assembly, Forklift, Macola, Receiving, Safety, Works, cameras, customer satisfaction, customer service, database, direction, drivers, electronics, hardware, neat, pricing, retail, routing, sales, selling, soldering, troubleshoot, type, well organized"
18171955.pdf,SALES MANAGER,"Bachelor of Business Administration , Computer Information Systems General Business 4 2001 Western Michigan University ï¼​ City , State GPA:
with Honors Magna cum laude

Computer Information Systems General Business with Honors Magna cum laude

Recipient of [Scholarship Name] Scholarship","Accomplishments, COMPUTER KNOWLEDGE, Coach, Coached a successful sales team that led the store in monthly sales per FTE over 50% of the year., Consultant, Developed highly effective sales training strategies as Sales Manager of a 12-person team., Excel, Exceptional time management, Goal-oriented, Lotus Notes, MS Office proficiency, Managed a successful sales team of 12 members who consistently exceeded sales goals an average of 20% each month., Mentored two Sales Manager In Training candidates through successful completion of the Manager Assessment Program (MAP)., Microsoft Office, Microsoft Outlook, PowerPoint, Sales, Team leadership, Word, approach, budget, clients, coaching, conversion, credit, customer service, financial, financial analysis, focus, hiring, insurance, interpersonal communication, leadership, leadership skills, managing, networks, performance management, phone, quality, real estate, selling, staffing, telemarketing, written"
18328743.pdf,SALES,"Management Training Programs at Florida State - Dudley M. Hughes, Macon, Georgia May, 1966 - Jul, 1968) Graduated 2 years of accounting
and Bookkeeping,1967,1968 Management Training Programs at Florida State University, Principles and Methods of Persuasive Communications,
Effective Human Relations as applied to sales","AS400, AS400., Bookkeeping, Computer literate, Excel, Human Relations, MS, MS Excel, Management Training, Microsoft Word, Persuasive, accounting, advertising, balance, literate, market, marketing, sales"
18368613.pdf,Z,"B.B.A : Business Management Management Information Systems, Business Intelligence Florida Atlantic University May 2014 City , State
Business Management Management Information Systems, Business Intelligence","competitive, features, marketing, marketing strategies, multi-tasking, personnel, sales, sales plan, sales reports, sales skills, surgeon, troubleshoot"
18885231.pdf,SALES ASSOCIATE,"May 2016
Bachelor of Science : Communications Public Relations Political Science SALEM STATE UNIVERSITY ï¼​ City , State Communications Public
Relations Political Science
Work Experience
12/2016 to Current
Sales Associate Company Name ï¼​ City , State

Respond to member inquires via email or phone.
Establish referral programs using OTF sales system.
Sell memberships or upgrades.

08/2016 to 11/2016
Marketing Coordinator Company Name ï¼​ City , State

Promote ridesharing programs by hosting events at client locations.
Develop marketing flyers using Publisher.
Manage all aspects of event production.
Support Field Directors in project management.
Manage social media accounts (Facebook, Twitter).

Intern Company Name ï¼​ City , State

Helped film the Malden holiday parade using editing skills.
Designed brochures for upcoming events.
Collaborated with members of the Malden neighborhood.

Staff Writer Company Name ï¼​ City , State

Student -run campus newspaper.
Researched information for news articles using library and web sources.
Composed and edited informational articles as well as conduct interviews.
Gained knowledge in taking photographs and writing captions and sidebars.

11/2013 to 06/2016
Customer Service/Sales Representative Company Name ï¼​ City , State

Help customers resolve billing questions, collect payments, and renew oil contracts.
Answer inbound calls and make outbound calls.
Promote oil as a safer choice.
Train new hires.","Excel, Microsoft Office, Outlook, PowerPoint, Publisher, Word, billing, brochures, editing, email, event production, film, marketing, sales, salesforceÂ, Â client"
19147494.pdf,SALES ASSOCIATE,"Conroe High School | City , State High School Diploma 05/1987
Customer Service and Warranty award

Exceeding expectations in equipment rental revenue. Good Customer Service reviews. Filing and following through with warranty claims insuring
company to collect all more required to repair equipment covered under warranty. Helped collect multiple locations warrantys old and new.","A&I Products, Bad Boy Zero Turns, Becknell Wholesale, Bush Hog, Created long lasting relationships with customers needing help with their equipment. Communicated with customers to, Cub Cadet riding and zero turn mowers Vermeer Hay equipment, Familiar with John Deere Ag and Lawn equipment, Handled cash of large amounts with no discrepancies. Prepared deposits and took them to the bank when ever, Hunter/farmer, Hustler, Inventory control procedures, Kioti Ag equipment, Land pride implements, Listening, MTD Products, Massey Ferguson Ag equipment Kubota Ag and lawn, POS system, Reliable and, Servis Rhino, Sitrex, Stihl and Echo products Parts / Service and warranty for each brand whether OEM or aftermarket, Team player mentality, Tillage equipment, Vicon, Zero Turns, applications. Tisco, assist them with their parts purchasing, customers failure or questions for a quick resolution., equipment, needed., operation, punctual, sales, strategies, troubleshooting when needed by contacting manufactures explaining the"
19147947.pdf,SALES,"High School Diploma : General , 2004 Ardmore High School - City , State , USA GPA: GPA: 3 General Member of football and basketball
teams GPA: 3 University Center of Southern Oklahoma - Ardmore, OK, USAcompleted on semester at this university
Prairie View A&M University Prairie View, TX, USAcompleted one semester at this university
University of Central Oklahoma GPA: GPA: 5 Edmond, OK, USAComplete one full year at this university GPA: 5
Professional Affiliations
YMCA as a volunteer coach for basketball","5+ Years Forklift Experience, 8+ years of warehouse, Accomplishments, Accuracy, Background in shipping and receiving, Dependable, Developed layout and plan sequences to improve operational efficiency., Established cohesiveness between sales team and warehouse team at McJunkin RedMan Corporation, Excellent communication skills, Learns new job assignments quickly, Multi-Tasker, Prepared pallets by following prescribed stacking arrangement and properly tagging pallets., Problem Solver, Proficient in accuracy and production, Proposed and initiated filing system at McJunkin RedMan Corporation, Safety-Oriented, Self Motivated, Supported all of previous employers policies, Trained numerous employees in day to day jobs in warehouse environment, Used propane forklift to load trailer at warehouse., and 2+ years of sales experience, and safety rules, distribution, manufacturing, procedures, receiving, shipping"
19156751.pdf,SALES REPRESENTATIVE,"2011
High School Diploma East Gaston High ï¼​ City , State , USA
2012
Medical Assistant King's College ï¼​ City , State , USA Completed an accelerated degree program with King's College as a medical assistant
taking a year. Maintaining to keep me on the dean's list each semester by completing many courses including Microsoft Word and professionalism
courses.","Active listening, Cheerful and energetic, Dependable and reliable, Effective team player, Flexible scheduling, Verbal/written communication, Work well as a team member or independently. Performed sales, and handled follow-up. Rapidly mastered new product data. Performed outstanding customer, and market trends research, and other computerized equipment, automatic ticket issue machines, compliance. Developed a thorough understanding of operating cash registers, customized products and services and creative, developed marketing campaign, ensuring educated clients, identified and tested markets, image. Verified quote system data with customer orders to ensure accurate processing. Researched and created vendor records to insure, marketing, personalized tours for new employees as part of the orientation program. Promptly answered telephone calls to reflect professional corporate, prospect database, relationship management, set-up, solving skills. Issued return authorizations and processed credits and rebills to resolve shipping discrepancies and invoicing errors. Conducted, turnkey solutions. Mediation and problem, within the store. Provided a high level of customer service and client relations based on outstanding communication and interpersonal skills.Â Â"
19473948.pdf,SALES,"High School Diploma 2014 Gateway High School ï¼​ City , State","Business correspondence, Customer satisfaction, Customer service, Database, Email, Excellent communication, Expense reports, Facsimile, Faxes, Filing, Fluent in Spanish, Inventory, Mail, Materials, Microsoft Excel, Money, Office machines, Photocopiers, Pricing, Pricing and sales, Report writing, Scanners, Telephones, Telephones and voice mail., listening, mailing, meetings, neat, next, office, phone, phone etiquette, quality, research, retail, sales, spreadsheets, take messages, team player, telephone, typing speed, voice mail, websites"
19582792.pdf,SALES TEAM,"High School Diploma 1980 Nelson County High School - City , State","$20, (MSHA), 000 per unit Conducted industry standard study on the cost of services calls and inspection charges resulting in tripled income of, Accounts payable, Assisted Living, Attention to detail, Billing, Breathable Air, Broad expertise in advertisement and promotion., Communicated product knowledge to the customer and recommend merchandise selections., Company Name - City, Decreased production labor hours after implementing a time study of the production line resulting in a cost savings of approximately, Delivered unparalleled customer services Greeted and assisted customers, Developed and operated four assisted living locations Obtained and maintained annual state certifications and supervised all security, Excellent communication, Exceptionally organized, Extensive sales and customer service experience., Gas Monitoring and, General Management, Government, Government authorities and stakeholders Managed client, Harmful Gas Removal, I-9 documentation, Management Lead and oversaw the implementation of long and short term plans in accordance with strategic plans Ensured expenditures, Manager Feb 2004 to Jan 2009, Manager Mar 2009 to Jan 2015, Microsoft Office suite, Monitored sales activities and productivity Ensured register transaction where completed accurately and in accordance with policy., Multi-state payroll, Opened and Closed store in accordance with Company policies., PowerPoint, Professional Experience, Project Management, Project Management Communicated effectively with shareholders, Provided outstanding customer services Maintained displays and store appearance Ensured customer satisfaction at every state of sale., Recommended new products and upcoming events., Record-keeping, Safety, Sales Team Nov 2015 to Feb 2016, Sales Team Nov 2015 to Jan 2016, Set up and management of over 60 vendor relationships Responsible for delivering projects against agreed scope, Six Sigma, State, Strong organizational skills, Strong organizational skills and ability to mulit-task in a fast paced environment., Structural categories General Management Recruited, Trained in visual merchandising and organization., a division of the United States Department of Labor, accounting, accounts receivable, and consumer education Managed all day to day facility operations Responsible for payroll oversight and related approvals., and timely manner., and written skills., budget, client, communication with purchasing, controllers and production manager Created marketing materials, customer expectations Developed production tracking and quality control systems while analyzing production Implemented new product, customer satisfaction, customer service experience, customer services, direction, director, documentation, employees, engineering and production departments Experience with Lean Six Sigma Experience supervising, engineers, expectations by ensuring the highest quality of service Developed, fast, financial, government guidelines Monitored employee productivity, human resource, human resources, implemented and ensured compliance of safety procedures to meet, inspection, inventory, large number of employees Advanced experience using Microsoft Office suite and PowerPoint., lines through research and development to generate new revenue streams Collaborated with Mine Safety and Health Administration, maintained operational reports to detect production issues., marketing, marketing materials, meetings, nursing, outside sales, payroll, performance and optimized employee procedures to reduce costs Monitored and, policies, presentation and demonstration products for sales meetings, production manager, production times and reduce costs, promotion, purchasing, quality, quality control, recruiting, research, responded to customer inquiries and complaints in a professional, safety manager, sales, schedule and, services department revenue Implemented an inventory software program to operate with the accounting program to streamline, strategic plans, streamline, supervising, to ensure the safety and survivability of miners in the event of an incident, trade shows, trained and supervised human resource director, transportation, verbal, visual merchandising, were within the authorized annual budget Implemented operational improvements to enhance quality, while underground Received all four of MSHA's approvals in Product, written skills"
20141807.pdf,SALES ASSOCIATE,"May 2008
High School Diploma Madill High School ï¼​ City , State Graduated in the top 10% of my class *Captain of our Drill Team *President of the High
School Show Choir
Jan. 2010
Elementary Education Ardmore Higher Education Center ï¼​ City , State Elementary Education 3.4 Unfortunately did not receive a degree. I
withdrew from classes to take care of my grandmother.","Debit, Enterprise, Forms, IMS, Legal, Outlook, Type, balance, book, database, documentation, email, front office, inventory, money, newsletters, notes, phone, sales, take messages, website"
20423658.pdf,SALES REPRESENTATIVE; SALES MANAGEMENT,"2005
University of Louisville City , State , United States Bachelor of Science : Double Major in Political Science/History

Attended the University of Louisville on full academic scholarship

Currently enrolled towards a degree in Organizational Leadership & Learning, with a specialty in leading/training

Plan on moving to MBA/HR Degree after graduation

Military Experience
May 2007
to
March 2008
Company Name City , State Airman; United States Air Force

Used time in service to develop leadership & organizational skills

Developed a habit of exceeding/leading in a position by always learning about the skills/responsibilities of the person above me and the person
below me in order to keep continuity/consistency in results/duties should we lose a team member

Led & trained other members/airmen in multiple areas

Was tested and selected for proficiency in foreign languages","Developed a habit of exceeding/leading in a position by always learning about the skills/responsibilities of the person above me and the person, I have been consistently at the top of any sales team I've ever been, I have had multiple sales representatives promoted directly from my, I've been given multiple awards for my sales results through various, Led & trained other members/airmen in multiple areas, Selected to represent my high school as a member of West KY, Teen Leadership Group, Was given a customer service experience award as a sales rep for, Was selected as 1 out of only 10 total freshman allowed into, Was tested and selected for proficiency in foreign languages, While a manager for a technology company I helped us hit 14, being over our customer satisfaction goals with AT&T, below me in order to keep continuity/consistency in results/duties should we lose a team member, companies, on, over 600., positive results for them, sales team based on my ability to translate my sales knowledge into, straight months of us being in the top 10 stores in the nation out of, student government my first year at the University of Louisville"
20552814.pdf,SALES,"High School Diploma 2006 Oak Hill High School , City , State GPA: Top 10% of class Graduated with Honors member of National Honor
Society treasurer of FCCLA
Top 10% of class
Graduated with Honors
Member of National Honor Society
Treasurer of FCCLA","Banking and financial services background, Cash handling accuracy, Credit card processing, Detail-oriented, Display design, Excellent multi-tasker, Exceptional communication skills, Flexible schedule, Merchandising, Organized, Proficient in MS Office, Proficient in cash management, Quick learnerÂ, Skilled problem solver, Stocking, Strategic sales knowledge, Upselling techniques, communication skills, computer literate, customer service, Â cash management"
20819838.pdf,SALES,"Diploma : Graphics Design , 2003 Lansdale School of Business ï¼​ City , State , US

Graphics Design

Associates Degree : Office Operations Management , 2005 Lansdale School of Business

Office Operations Management

Pennsylvania Real Estate License : 2012 Schlicker Kratz R/E Institute Licensed","Ask, Real Estate, benefits, business plan, client, direction, features, firing, hiring, inventory, marketing strategies, sales, sales manager"
21595057.pdf,SALES REPRESENTATIVE,"N/A, Current Varina High School - 7053 Messer Rd, Henrico, VA 23231","Cash handling, MICROS, Meal preparation, Quick, Sales Software: Salesforce.com, TapScan, clientele, customer service, excellent customer service, fast, financial, frame, honest, office, policies, problem solver, quality, rapport, safety, sales, tables, team player, telephones, trustworthy., type, window"
22047665.pdf,SALES MANAGER,"Century Business College City , State , United States Business Management","10-Key by touch, Cash Handling, Creative Problem Solving, Multi-tasking"
22319662.pdf,SALES COORDINATOR,"Social Science/Hospitality Current Ashford University
Computer Skilles
Microsoft word, Excel, Powerpoint
ISAC, Dnet, Birchstreet, Bridge/MGS application and reports","Bilingual in French, Great Â verbal and written skills, Social media savvy, Strong interpersonal skills"
23032182.pdf,SALES ASSOCIATE,"GED : San Francisco State - City , State 

BUSINESS MARKETING Business, Communications and Organizational Psychology

BACHELORS DEGREE : BUSINESS MARKETING Business, Communications and Organizational Psychology San Francisco State - City ,
State 
BUSINESS MARKETING Business, Communications and Organizational Psychology
Coursework in Marketing and Advertising, Business Development training :
2018
Communications : Relationship psychology, Interpersonal communication 
American River College - City , State 

Coursework in communications, contract law and environmental and geographical sciences.Â 
Elected Captain of 2017 Women's water polo team
Elected Captain of 2018 Women's swim team

2018
Communications : Communications 
American River College - City , State 

Coursework in communications, contract law and environmental and geographical sciences.Â 
Elected Captain of 2017 Women's water polo team
Elected Captain of 2018 Women's swim team","Advertising, Business Development, Client assessment and analysis, Conflict resolution, Creative problem solver, Exceptional, Exceptional communication skills, Extremely organized, Marketing, Outside Activities, Proficient at time management as I juggle a full academic course-load and maintain my position as an all american athlete., Quick learner, Relationship selling Quick learner Resolution-oriented Reliable and dependable Cheerful and energetic Dedicated, Self-motivated, Strong client relations, Strong communication skills, Strong verbal communication, Team leadership, active team player, communication skills, dependable, sales, team player Hard work ethic Strong communication skills"
23296286.pdf,SALES ASSOCIATE,"2015
High School Diploma Monroe High School ï¼​ City , State
Associate of Science South Piedmont Community College ï¼​ City , State , Monroe Currently enrolled in college.","02/2017 to Current, 08/2015 to Current, 11/2014 to 03/2015, Accomplishments, Assisted customers over the phone regarding store operations, Assisted customers with store and product complaints., Attention to detail, Bilingual, Collaborative team member, Customer Interface, Customer Satisfaction, Customer service, Described use of operation of merchandise to customers., Excelled in exceeding daily credit card application goals., Flexible schedule, Good communication skills, Good interpersonal skillsâ€‹, Greeted customers upon entrance and handled all cash and credit transactions., Helped customers over the phone regarding our store merchandise, Helped customers over the phone regarding our store policy and store hours, Listening skills, Maintained knowledge of current sales and promotions, Maintained up-to-date knowledge of store policies regarding payments, Managed quality communication, Organized, Organized the store by returning all merchandise to its proper place., Processed and issued money orders for customers., Processed merchandise returns and exchanges., Quick Learner, Received and processed cash and credit payment for in-store purchases., Reliable and punctual, Responsible for ringing up customers in a timely manner and guaranteeing high level of customer service., Sales Associate Company Name ï¼​ City, Served as the company's only bilingual Spanish/English customer service representative., State, Stocked shelves and supplies and organized displays. Organized racks and shelves to maintain the visual appeal of the store. Verified that all, Team Member Company Name ï¼​ City, Work Experience, Worked as a team member performing cashier duties, Works well under pressure, customer support and product representation for each client., customers received receipts for purchase., policies regarding payment and exchanges and security practices., product, product assistance and cleaning., promotions and orders., returns and exchanges., â€‹"
23760084.pdf,SALES,"Louisiana Tech University City , State Bachelor of Science : Psychology","Compelling leadership skills, Effective Retail Sales Manager, Energetic, Established track record of exceptional sales results, Excellent communication, Excellent communication skills, Excellent time management, Exceptional multi-tasker, Resolution-oriented, Resolve customer complaints, accounting, benefits, budgets, contracts, employee development, employee relations, firing, forecasting, hiring, inventory, labor, market trends, marketing, organizational, personnel, policies, problem solver, processes, promotion, receiving, relations, safety, sales, shipping, staffing, strategic planning, time management"
23782450.pdf,SALES MANAGER,"May 2012 High School Diploma : General Business Ringgold High School City , State Monitor checkout stations to ensure that they have
adequate cash available and that they are staffed appropriately. Maintain clean and orderly checkout areas and complete other general cleaning
duties, such as mopping floors and emptying trash cans. automatic debits. Issue receipts, refunds, credits, or change due to customers. Assist
customers by providing information and resolving their complaints. Establish or identify prices of goods, services or admission, and tabulate bills
using calculators, cash registers, or optical price scanners. Greet customers enteringestablishments. Answer customers' questions, and provide
information on procedures or policies. Sell tickets and other items to customers. Process merchandise returns and exchanges. Assist with duties in
other areas of the store, such as monitoring fitting rooms or bagging and carrying out customers' items. Sort, count, and wrap currency and coins.
Supervise others and provide on-the-job training. Stock shelves, and mark prices on shelves and items. Bag, box, wrap, or gift-wrap merchandise,
and prepare packages for shipment. Post charges against guests' or patients' accounts. Keep periodic balance sheets of amounts and numbers of","Accomplishments, Assisted customers over the phone regarding store operations, Client relations specialist, Conflict resolution techniques, Critical Thinking, Customer Assistance, Customer Interface, Deadline-oriented, Decision Making, Efficiency, Electronics, Excellent verbal communication, Focused on customer satisfaction, Greeted customers upon entrance and handled all cash and credit transactions., Inspect, Issue receipts, Management of remote employees, Meticulous attention to detail, Read, Reading, Resolve customer complaints, Sales, Skilled multi-tasker, Team management, Worked with company systems such as Live Support and diligently completed all assigned tasks, advertising, and orders., balance sheets, calculators, cash receipts, cash registers, catalog, commodities, credit, estate, features, focus, mark, marketing, money, policies, product, promotions, real, scanners, special events, staffing, tables, telephone, working overtime as needed."
23929500.pdf,OUTBOUND SALES,"High School Diploma : General , 1985 North Marion High School 1985 High School Diploma: General North Marion High School - Mannington,
26582, WV
Diploma : Paralegal , 1992 Webster college ï¼​ City , State , US 1992 Diploma: Paralegal Webster college - Fairmont, WV
Office Technology , 1994 Webster College ï¼​ City , State , US 1994 Degree: Office Technology Webster College - Fairmont WV
Diploma : Medical Office , 2007 Brown Mackie College ï¼​ City , State , US 2007 Diploma: Medical Office Brown Mackie College - Akron,
OH","44314, Accomplishments, Adeptly managed a multi-line phone system and pleasantly greeted all patients., Adherence to high customer service, Adheres to customer service procedures, Answered an average of [80] calls per day by addressing customer inquiries, Answered product questions with up-to-date knowledge of sales and store promotions., Assisted in the maintenance of medical charts and/or electronic medical record (filing, Audit, Award, Basis, Benefits, Built long-term customer relationships and advised customers on purchases and promotions., Call Center Representative, Claims, Coding, Confirmed accurate completion of forms/reports for the admission, Coordinated luncheons with Pharmaceutical Representatives., Cpt, Customer, Customer Service, Customer Support, Customer service award, Customer-focused, Described product to customers and accurately explained details and care of merchandise., Diligently filed and followed up on third party claims., Documentation, Effectively managed a high-volume of inbound and outbound customer calls., Ensured superior customer experience by addressing customer concerns, Etiquette, Evaluated consumer reports on a monthly basis., Excel, Filing, Icd, Icd-9, Icd-9 Coding, Icd9 Coding, Inbound And Outbound, Initiated audit process to evaluate thoroughness of documentation and maintenance of facility standards. Cole Manage Vision - Twinsburg, Inquiries, Inspections, June 2009 to June 2011 Company Name ï¼​ City, MS Windows proficient, Maintenance, Managed customer calls effectively and efficiently in a complex, March 2002 to December 2003 Company Name ï¼​ City, May 2003 to March 2008 Company Name ï¼​ City, Medical Records, Meticulously identified and rectified inconsistencies, Microsoft Outlook, Multi-line, Multi-line Phone, Multi-line Phone System, Of Sales, Op Reports, Operations, Organized the department in accordance with administrative guidelines in order to provide specified nursing services to meet the legal, Outbound Sales, Outlook, Paralegal, Participated in facility surveys and inspections made by authorized governmental agencies., Phone System, Politely assisted customers via telephone., Precisely evaluated and verified benefits and eligibility., Prepared patient charts, Prepared patient charts accurately and neatly for the clinic., Pricing, Professionally and courteously verified appointment times with patients., Provider Rep, Quick learner, Receptionist, Researched CPT and ICD-9 coding discrepancies for compliance and reimbursement accuracy., Researched questions and concerns from providers and provided detailed responses., Resolved service, Resourcefully used various coding books, Retail Sales, Routinely answered customer questions regarding merchandise and pricing., Sales, Sales And, Scheduled appointments, Skilled in call center operations standards, State, Telephone, Treated all patients, Updated patient financial information to guarantee accuracy., Verified patients' eligibility and claims status with insurance agencies., Word, Word and Excel, Work Experience, deficiencies and discrepancies in medical documentation., demonstrating empathy and resolving problems on the spot., fast-paced and challenging call center environment., home care forms)., organizational and medical staff guidelines., peers, pre-admissions and consent forms as necessary., pricing and technical problems for customers by asking clear and specific questions., procedure manuals and on-line encoders., registered patients and distributed sample pharmaceuticals as prescribed., solving problems and providing new product information., staff and providers in a pleasant and courteous manner., test results, their families, transfer and/or discharge of each resident., visitors"
